Date,District,Header,Story,Source,Attack,latitude,longitude,Propaganda,Structural Discrimination,Material Damage,Reported status
2017-09-10,Treptow-Köpenick,AfD beim Altglienicker Spätsommerfest,"Am 10. September fand das 16. Altglienicker Spätsommerfest statt. Unter anderem war auch die AfD Treptow-Köpenick mit einem Stand vertreten. Dort konnten sie ihr zum Teil rassistisches und homophobes Material ausgeben.
Die AfD ist ein Sammelbecken unterschiedlicher Kräfte und Personen, die in Teilen rechtspopulistische oder rechtsextreme Positionen vertreten.",Register Treptow-Köpenick,No,52.4210563,13.5410556,yes,Unknown,Unknown,Unknown
2017-07-24,Mitte,Plakat aus LGBTIQ*-feindlichen Gründen zerstört,"Im Ortsteil Mitte an der Kreuzung Torstraße Ecke Karl-Liebknecht-Straße wurde ein Werbeplakat zerstört, auf dem ein Mann mit Dessous abgebildet war.",Berliner Register,No,52.5296887,13.4010264,Unknown,Unknown,yes,Unknown
2017-07-23,Friedrichshain-Kreuzberg,LGBTIQ-feindlicher Angriff in der Tram M10,"Gegen 2.40 Uhr wird ein 20-jähriger Mann, der mit zwei Freundinnen in der Tram M10 sitzt und eine Regenbogenfahne als Umhang um den Hals geknotet trägt, von einem unbekannten Mann aus LGBTIQ-feindlicher Motivation beleidigt. Der 20-Jährige wird von dem Unbekannten, der in Begleitung von Freunden ist, gewürgt als dieser ihn an der Fahne aus der Tram auf den Gehweg am U-Bahnhof Frankfurter Tor zieht.",ReachOut Berlin,physical,52.515818,13.4539745,Unknown,Unknown,Unknown,Unknown
2017-07-04,Tempelhof-Schöneberg,Paar aus homophober Motivation angespuckt,"Am 04.07.17 gegen 17.00 Uhr wurden zwei Männer, die Hand in Hand auf der Rheinstraße liefen, aus einer Gruppe heraus angespuckt.",Register Tempelhof-Schöneberg,physical,52.4717838,13.3354498,Unknown,Unknown,Unknown,Unknown
2017-07-01,Mitte,Gewalttätiger LGBTIQ*-feindlicher Angriff ,"Ein 33-jähriger Mann wird gegen 00.35 Uhr auf dem Michaelkirchplatz aus
LGBTIQ-feindlicher Motivation von einem unbekannten Mann beleidigt,
bespuckt, geschlagen und getreten.",ReachOut,physical,52.5071228,13.419247474125797,Unknown,Unknown,Unknown,Unknown
2017-06-30,Lichtenberg,Flüchtlingsfeindliche Beiträge auf NPD-Facebookseite,"Die Lichtenberger NPD veröffentlichte auf Facebook hauptsächlich Beiträge, die sich gegen Flüchtlinge richteten. So wurden im Umfeld von Unterkünften NPD-Aufkleber fotografiert und gepostet. Verfolgten homosexuellen Flüchtlingen aus Tschetschenien wurde unterstellt, dass sie betrügen würden, um später ihre Familien nachholen zu können.",Lichtenberger Register,No,,,yes,Unknown,Unknown,Unknown
2017-06-10,Friedrichshain-Kreuzberg,Homophob beleidigt und bespuckt,"Vergangene Nacht wurde die Polizei wegen eines homophoben Übergriffs zum U-Bahnhof Mehringdamm gerufen. Dort gab der 20-jährige Geschädigte an, aus einer Gruppe heraus von einem 18-Jährigen aufgrund seiner Frauenkleider beleidigt und bespuckt worden zu sein. Bei der anschließenden Personalienfeststellung des Tatverdächtigen ließ dieser ein Tütchen mit Drogen fallen, die von den Beamten gesichert wurden.
Nr. 1299",Polizei,verbal,52.4963319,13.3895282,Unknown,Unknown,Unknown,Unknown
2018-12-25,Neukölln,LGBTIQ-feindlicher Angriff in Nordneukölln,"Ein 25-Jähriger war gegen 15 Uhr in Begleitung seines Freundes in der Weserstraße unterwegs, als er von drei Unbekannten LGBTIQ-feindlich beschimpft wurde. Außerdem versuchte ein Mann aus der Dreiergruppe, den 25-Jährigen zu schlagen. Die Attacke wurde jedoch von den anderen beiden Unbekannten des Trios verhindert.","Polizei Berlin, Polizeimeldung Nr. 2694",physical,52.4774146,13.452962,Unknown,Unknown,Unknown,Unknown
2018-12-05,Mitte,LGBTIQ-feindlicher Angriff im Wedding,"Gegen 18.00 Uhr werden ein 49-jähriger und ein 52-jähriger Mann in einem Supermarkt in der Müllerstraße von drei Frauen im Alter von 24, 25 und 30 Jahren aus LGBTIQ-feindlicher Motivation beleidigt und geschlagen.",ReachOut,physical,52.5614374,13.3327026,Unknown,Unknown,Unknown,Unknown
2018-10-06,Mitte,LGBTIQ*feindlicher Angriff auf dem Weddinger Oktoberfest,"Gegen 23.20 Uhr wird ein 28-jähriger Mann bei dem Oktoberfest auf dem Festplatz am Kurt-Schuhmacher-Damm von einem anderen 28-jährigen Mann aus LGBTIQ*feindlicher Motivation beleidigt. Der Täter versucht, den 28-Jährigen von der Sitzbank zu stoßen.",ReachOut,physical,52.491772049999994,13.236051848048195,Unknown,Unknown,Unknown,Unknown
